"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0364297489731988,0.01,0.1371,0.649819637149142,0.43473066705467,0.437129738071871,0.44192154007786,0.465414483306049
"2",200,0.3,0.5,0.2,0.0366115668311345,0.01,0.1357,0.660318119052287,0.569786020453405,0.56504289656378,0.561054028111501,0.539916329671576
"3",500,0.3,0.5,0.2,0.0368769446010127,0.01,0.13285,0.65912441781948,0.57327085557697,0.568626086391251,0.562232929423852,0.540295694579972
"4",1000,0.3,0.5,0.2,0.038087112180639,0.01,0.1325,0.658316621485119,0.579026690855152,0.57494005032026,0.57102779261674,0.451526170784003
"5",100,0.5,0.5,0.2,0.0373103070714053,0.01,0.1328,0.64574159313213,0.594468646078318,0.592513546691177,0.589523216651696,0.43717194777149
"6",200,0.5,0.5,0.2,0.0370062789880756,0.01,0.13265,0.638596744622661,0.587390244280515,0.584973725062065,0.581013616906312,0.559000312243263
"7",500,0.5,0.5,0.2,0.0372631870273877,0.01,0.13235,0.643941636977578,0.588256725353506,0.587556318325541,0.584740620100419,0.562551752998401
"8",1000,0.5,0.5,0.2,0.0370987352124298,0.01,0.1298,0.63127932333392,0.57803389281415,0.579434900227197,0.57577132604168,0.55236776037906
"9",100,0.7,0.5,0.2,0.0354152297524032,0.01,0.1316,0.625490171419865,0.596885764243627,0.595044756480888,0.594291141508886,0.577683830406542
"10",200,0.7,0.5,0.2,0.0373085993755054,0.01,0.1283,0.633315620438343,0.6143434451224,0.61300171414852,0.611173727608799,0.595816397719007
"11",500,0.7,0.5,0.2,0.03381548967239,0.01,0.1312,0.618438982636996,0.594321530783234,0.595160235705156,0.592827390326954,0.577125593581529
"12",1000,0.7,0.5,0.2,0.0385635405411003,0.01,0.13015,0.639060444297425,0.612015268000634,0.609495835448011,0.608784431127182,0.590947606415465
"13",100,0.3,0.5,0.2,0.0386030009467553,0.01,0.1351,0.651779688207661,0.565927317761034,0.562990262789919,0.558896890714096,0.536134368316585
"14",200,0.3,0.5,0.2,0.0380318647703227,0.01,0.13505,0.648733992095387,0.56296973000763,0.560095219286748,0.552293830643774,0.530582909145129
"15",500,0.3,0.5,0.2,0.037184034829239,0.01,0.1285,0.652690840238653,0.576252625761507,0.571597338316016,0.571183455699674,0.44344597558426
"16",1000,0.3,0.5,0.2,0.0358771400211618,0.01,0.13145,0.653276598325491,0.560179407921141,0.562717920414993,0.558132110832567,0.531382687401558
"17",100,0.5,0.5,0.2,0.0353502651128493,0.01,0.1298,0.650810978533054,0.40547440867595,0.59473650452926,0.594751823747307,0.572210701375074
"18",200,0.5,0.5,0.2,0.0353790318981724,0.01,0.1327,0.643806357150809,0.581937167031543,0.57992738024371,0.577366075919002,0.567231396561738
