"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0359482525886568,0.01,0.1338,0.659667622514092,0.565258927481113,0.565655735917521,0.561468476876646,0.460402761544229
"2",200,0.3,0.5,0.2,0.0372853649595065,0.01,0.13345,0.659860126275455,0.572508895775943,0.570957256127715,0.565544938016515,0.544909320477497
"3",500,0.3,0.5,0.2,0.0359312105394523,0.01,0.13325,0.659014983307479,0.563616025971116,0.561334766334133,0.562121475774456,0.537456601767966
"4",1000,0.3,0.5,0.2,0.035372533956969,0.01,0.13565,0.652875880538516,0.566584357284202,0.564056571707441,0.561029706003859,0.539641868530457
"5",100,0.5,0.5,0.2,0.0374716726244963,0.01,0.1312,0.642292061019358,0.41184949082455,0.414721046995404,0.415635143440812,0.4343142342415
"6",200,0.5,0.5,0.2,0.0375833567718176,0.01,0.1334,0.644943464254284,0.587748466649062,0.584696941874944,0.58653963664421,0.429935508771448
"7",500,0.5,0.5,0.2,0.0355167955002662,0.01,0.13295,0.644423421341369,0.580025641084184,0.575955604163766,0.574179702216373,0.558821332103415
"8",1000,0.5,0.5,0.2,0.037707983502265,0.01,0.13325,0.644500124447432,0.591756907528672,0.59017878219337,0.586774834990318,0.56415445572101
"9",100,0.7,0.5,0.2,0.0371497399536724,0.01,0.1291,0.635235667447185,0.605871804140723,0.606265377283721,0.605491725062365,0.594302877760838
"10",200,0.7,0.5,0.2,0.0354896186161393,0.01,0.1292,0.627583605043099,0.60263514608103,0.601292931706804,0.598650110789907,0.584750878988052
"11",500,0.7,0.5,0.2,0.036419427876394,0.01,0.1305,0.632558362264104,0.611443828180315,0.611403713775416,0.608285448833712,0.593028611212018
"12",1000,0.7,0.5,0.2,0.0364206373282504,0.01,0.13,0.628518934302133,0.613832320658389,0.613628671117821,0.613116467592645,0.60095950414709
"13",100,0.3,0.5,0.2,0.0382998368109635,0.01,0.1333,0.652909950879558,0.570756114362988,0.568538214497354,0.564570569480696,0.536934957360347
