"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.03594324279135,0.01,0.137,0.656035568426837,0.570598241398425,0.56782661793629,0.566226075267241,0.447414990672502
"2",200,0.3,0.5,0.2,0.0367604259665219,0.01,0.1305,0.657852959468659,0.568783618599015,0.565599035544963,0.558122381191557,0.534505484414115
"3",500,0.3,0.5,0.2,0.0371640183117611,0.01,0.13445,0.640827323787716,0.555456568141537,0.552110338808296,0.548871128938898,0.522961836583335
"4",1000,0.3,0.5,0.2,0.0375662717687768,0.01,0.132,0.653914858735981,0.563479216290257,0.563522275825751,0.561706327854664,0.546696865430769
"5",100,0.5,0.5,0.2,0.036601331635532,0.01,0.1297,0.635974876714275,0.582281779762852,0.580123044789995,0.577621634334754,0.554790601234057
"6",200,0.5,0.5,0.2,0.0359389817198316,0.01,0.13105,0.64250084617213,0.584838750642902,0.581557678638739,0.578037452822339,0.558495557170123
"7",500,0.5,0.5,0.2,0.037239955574592,0.01,0.12845,0.644767975831674,0.591748259168323,0.590210994759886,0.586128916964992,0.571114759350547
"8",1000,0.5,0.5,0.2,0.0393677814146173,0.01,0.1352,0.638522039464092,0.598373518302475,0.599045478277486,0.595700816984299,0.567068602684886
"9",100,0.7,0.5,0.2,0.0369764162766677,0.01,0.1308,0.628667956643239,0.602477212094266,0.601181347265448,0.599336038239229,0.586000289017333
"10",200,0.7,0.5,0.2,0.0393838117253592,0.01,0.12875,0.632717919409151,0.609663684599647,0.606878617701712,0.604829200132603,0.585564052494753
"11",500,0.7,0.5,0.2,0.0346871941450636,0.01,0.12805,0.626540975653296,0.603751272023613,0.603941290402038,0.604236146506475,0.592254547318682
"12",1000,0.7,0.5,0.2,0.0380464687039254,0.01,0.1272,0.641368527643902,0.613996906585459,0.61270602741294,0.611958373973282,0.592702332978438
"13",100,0.3,0.5,0.2,0.0364079862148294,0.01,0.1354,0.6523988818269,0.561443511858256,0.562739355550405,0.558079149231214,0.545455214026641
"14",200,0.3,0.5,0.2,0.0387998174649381,0.01,0.1338,0.663170854264942,0.571916600610572,0.571251070003282,0.56849520684267,0.543560106301942
"15",500,0.3,0.5,0.2,0.0365733045116891,0.01,0.1327,0.651310955758085,0.566469027295825,0.564566255510075,0.555524182060097,0.534383747082402
"16",1000,0.3,0.5,0.2,0.0368874309695589,0.01,0.13515,0.661743206291154,0.577406391091191,0.573649079389173,0.569880170826954,0.551424170166557
"17",100,0.5,0.5,0.2,0.0364668975672405,0.01,0.13095,0.637081172748613,0.415665393477448,0.417619906070263,0.418475752564981,0.437201764369337
"18",200,0.5,0.5,0.2,0.0366471409086214,0.01,0.1315,0.644844316931541,0.590542543464564,0.590161462141173,0.587547358417712,0.564614186708754
"19",500,0.5,0.5,0.2,0.0387466353241156,0.01,0.13015,0.643788547067782,0.596501826820204,0.595682272312553,0.592179075793683,0.568755054647559
"20",1000,0.5,0.5,0.2,0.0337285716698681,0.01,0.1341,0.634087091653151,0.575205597757502,0.572268003598753,0.57309952133453,0.55687875653189
"21",100,0.7,0.5,0.2,0.0382650557784144,0.01,0.13285,0.634790350416933,0.607800696433834,0.606793688562635,0.604644244520071,0.594246406929578
"22",200,0.7,0.5,0.2,0.0372274875468306,0.01,0.13255,0.632211848855554,0.605548448558393,0.604217846513008,0.600966424896628,0.583125485468946
"23",500,0.7,0.5,0.2,0.0381717308731687,0.01,0.1283,0.633839909954616,0.607048305882358,0.604917599999997,0.603547976470582,0.585848682352937
