"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.037542252598392,0.01,0.135,0.654817881007476,0.565870091855058,0.562278511821412,0.55768488245116,0.465457401220509
"2",200,0.3,0.5,0.2,0.0350722888980278,0.01,0.13385,0.659540005769206,0.56390582376199,0.561331898798275,0.554578204403678,0.531214197723092
"3",500,0.3,0.5,0.2,0.0384442699239073,0.01,0.1353,0.65365937614395,0.559032653118373,0.554154031967555,0.552094327020746,0.530971569491399
"4",1000,0.3,0.5,0.2,0.0391145063448355,0.01,0.1376,0.659522952654891,0.572882812686642,0.567707400074062,0.56414846251136,0.54130463206438
"5",100,0.5,0.5,0.2,0.0377484459956032,0.01,0.1306,0.645866714378892,0.401178770723464,0.401702741352873,0.406306440244919,0.572319714493189
"6",200,0.5,0.5,0.2,0.03640789406426,0.01,0.1299,0.650336370235305,0.580116354583533,0.579407356500561,0.576323002699865,0.563296178487687
"7",500,0.5,0.5,0.2,0.039285603904657,0.01,0.1299,0.643960929205065,0.592202088975039,0.589853242986094,0.586648592923576,0.570170752855528
"8",1000,0.5,0.5,0.2,0.0376043121434369,0.01,0.12935,0.651105660197096,0.593387470026257,0.591687878923112,0.587222936603794,0.568835139022664
"9",100,0.7,0.5,0.2,0.034410309929994,0.01,0.1338,0.623567072274458,0.605237098432531,0.60341691284037,0.602570770866063,0.58598642294926
"10",200,0.7,0.5,0.2,0.03593039575241,0.01,0.1294,0.625113406862507,0.595063421368309,0.594437904355828,0.592253623229603,0.575274899845581
"11",500,0.7,0.5,0.2,0.041144448366208,0.01,0.13085,0.643286407874177,0.6233738367747,0.622244991491354,0.618768465657588,0.595940227018317
"12",1000,0.7,0.5,0.2,0.0368685901804578,0.01,0.12925,0.63704923729639,0.610255279538573,0.609185483962432,0.607849321044355,0.595223880553241
"13",100,0.3,0.5,0.2,0.0358247534258968,0.01,0.1366,0.654523378045706,0.563460109825769,0.561687924068145,0.56239951093321,0.544284438995895
"14",200,0.3,0.5,0.2,0.0373103429256036,0.01,0.1352,0.659279358061826,0.571263191842475,0.568819469652335,0.564967993666259,0.549773201524116
"15",500,0.3,0.5,0.2,0.0374401695778497,0.01,0.1352,0.65217526742352,0.560805996382965,0.55885457435747,0.556528385123544,0.458033405205761
"16",1000,0.3,0.5,0.2,0.0365202295881725,0.01,0.134,0.655301150807998,0.561207934160273,0.561727729325783,0.559212175944049,0.526404346880816
"17",100,0.5,0.5,0.2,0.0372121072478534,0.01,0.1306,0.636111938665992,0.584609715429084,0.583562805691423,0.582149333036906,0.559978612716764
"18",200,0.5,0.5,0.2,0.0385516602068936,0.01,0.1298,0.630976702825123,0.580735509355066,0.579072714658622,0.575619172800419,0.560183302749977
"19",500,0.5,0.5,0.2,0.0361805282748112,0.01,0.13265,0.640009645338821,0.587167169740555,0.586220798927875,0.584573714794579,0.564589779405418
"20",1000,0.5,0.5,0.2,0.0365707737269554,0.01,0.134,0.646226699260243,0.587307133756287,0.58610827797045,0.583784350950449,0.563264824186228
"21",100,0.7,0.5,0.2,0.0366717243947258,0.01,0.13155,0.636180821227812,0.60598849722586,0.606839974812077,0.605574719623392,0.589705690813925
"22",200,0.7,0.5,0.2,0.0368823347041851,0.01,0.13095,0.632661912975445,0.605229159212879,0.604396936493734,0.60222363595706,0.58627683363149
"23",500,0.7,0.5,0.2,0.0367034583109945,0.01,0.13225,0.63100839501637,0.605792423242847,0.606401862220307,0.604036844986553,0.592810567111172
"24",1000,0.7,0.5,0.2,0.0363130907937084,0.01,0.1283,0.620705004496745,0.595091630206824,0.594202512117978,0.593078682544136,0.579391259104976
"25",100,0.3,0.5,0.2,0.0382625019332906,0.01,0.1323,0.657497269254539,0.575439400592914,0.57284073113981,0.567221948960785,0.543844010042732
"26",200,0.3,0.5,0.2,0.0379844198905317,0.01,0.131,0.649459753208398,0.569300149657633,0.563982653596385,0.56147296459155,0.542934940718067
"27",500,0.3,0.5,0.2,0.0363034814123437,0.01,0.1368,0.655372916086297,0.562584536708798,0.559299471916794,0.559073128286621,0.545333840720496
"28",1000,0.3,0.5,0.2,0.0357012026377783,0.01,0.1339,0.656655427835934,0.565872935878893,0.563433064850574,0.55730623158854,0.529158441320441
"29",100,0.5,0.5,0.2,0.0357261889496441,0.01,0.1323,0.635508571712113,0.587932791013882,0.586486707330376,0.583553915544152,0.564803903545498
"30",200,0.5,0.5,0.2,0.0407455567165576,0.01,0.1285,0.648002241707625,0.399472813708692,0.401380268983241,0.404311702121554,0.428025865741848
"31",500,0.5,0.5,0.2,0.0392781540149029,0.01,0.13235,0.650289369005584,0.595858200114198,0.591964305924299,0.59010534406242,0.566964748588583
"32",1000,0.5,0.5,0.2,0.0361589354263766,0.01,0.1341,0.640731425551352,0.585290981117811,0.583481068183319,0.582562502361653,0.56359180181078
"33",100,0.7,0.5,0.2,0.031990605281581,0.01,0.13005,0.621986325459472,0.587922983166737,0.587070457223348,0.585430666419741,0.572426357044152
"34",200,0.7,0.5,0.2,0.035626892238973,0.01,0.1285,0.634007311056685,0.61566027973822,0.614386956647263,0.613900975169791,0.59721963868577
"35",500,0.7,0.5,0.2,0.0387089489543723,0.01,0.1315,0.636449621681437,0.610920741281386,0.610281324777452,0.609591723528077,0.595890109640269
"36",1000,0.7,0.5,0.2,0.0379320660254782,0.01,0.12795,0.629417564346489,0.606735262490198,0.606376618730569,0.606275744719344,0.587361593364597
"37",100,0.3,0.5,0.3,0.0787983211660637,0.01,0.1334,0.722593389295952,0.601627566360228,0.598472437374785,0.406782621432315,0.446980962683357
"38",200,0.3,0.5,0.3,0.0801500299294099,0.01,0.138,0.726703054609185,0.598376926724902,0.593400134331587,0.589726508601733,0.444573583027009
"39",500,0.3,0.5,0.3,0.0793579479225424,0.01,0.135,0.723586336038874,0.604294253262794,0.603587092768958,0.594069875132281,0.560077612698403
"40",1000,0.3,0.5,0.3,0.0771198526712646,0.01,0.138,0.718075261465856,0.59042916060356,0.585995370890175,0.58339576559119,0.559920090452625
"41",100,0.5,0.5,0.3,0.0779789185893511,0.01,0.1292,0.705104644323247,0.621141011096065,0.61949975697793,0.615577018099828,0.589408199039025
"42",200,0.5,0.5,0.3,0.0820257246136716,0.01,0.129,0.714626945430423,0.640893043765753,0.637607687392582,0.633223366631146,0.600374970656535
"43",500,0.5,0.5,0.3,0.0810396866945435,0.01,0.13435,0.710204596028033,0.633838094147271,0.631184479944092,0.625416777470097,0.594131300800959
"44",1000,0.5,0.5,0.3,0.0798651035095632,0.01,0.13075,0.70982195198827,0.625916563519527,0.623511547545045,0.618725696429999,0.595030506442408
"45",100,0.7,0.5,0.3,0.0788747901164598,0.01,0.12845,0.686921816164069,0.650578345863478,0.650137764792892,0.648687987932263,0.625333535665913
"46",200,0.7,0.5,0.3,0.0805631047611582,0.01,0.12955,0.686747722993866,0.65128021870524,0.650038971161351,0.649430524464001,0.628081659168374
"47",500,0.7,0.5,0.3,0.0789634016444941,0.01,0.12795,0.691688421445314,0.653503070540217,0.652320233899005,0.651544886149568,0.632936446141678
"48",1000,0.7,0.5,0.3,0.0824819232705184,0.01,0.12855,0.690399534319922,0.655247374887936,0.654905687984447,0.654574102143071,0.631812270233174
"49",100,0.3,0.5,0.3,0.0776559356665519,0.01,0.13515,0.722750996642079,0.599115778935542,0.595507968062122,0.585645097169633,0.549214168675125
"50",200,0.3,0.5,0.3,0.0787077721536467,0.01,0.1341,0.723851509362243,0.596976456117509,0.591338841669034,0.589891581925614,0.556895791970323
"51",500,0.3,0.5,0.3,0.0790059318256873,0.01,0.1385,0.724000606480052,0.59846168430335,0.594124316578486,0.588377491181655,0.551743628747796
"52",1000,0.3,0.5,0.3,0.0775037063781216,0.01,0.1361,0.71823223931795,0.595529635135495,0.592772697739736,0.588574906171504,0.557792341094108
"53",100,0.5,0.5,0.3,0.0780596001503001,0.01,0.13425,0.703219876592538,0.625919867144855,0.624482457039885,0.620145841798962,0.411979336582188
"54",200,0.5,0.5,0.3,0.0778907939897255,0.01,0.1313,0.711583951328333,0.629897892031878,0.627564517980709,0.623056712837343,0.40605924436357
"55",500,0.5,0.5,0.3,0.0817916617333912,0.01,0.13025,0.70877064851683,0.635307504627287,0.632412829285622,0.628749392375715,0.600802741787728
"56",1000,0.5,0.5,0.3,0.0779287386582878,0.01,0.13245,0.707225335925193,0.632451144050107,0.631167948747896,0.626587172239721,0.589290318175366
"57",100,0.7,0.5,0.3,0.0826482103980438,0.01,0.1275,0.698713777262713,0.667869763519038,0.667492010373395,0.665997955819717,0.642473968914944
"58",200,0.7,0.5,0.3,0.0770560440042254,0.01,0.128,0.684790586862936,0.65053909044018,0.651436963312919,0.648431669913988,0.629026721754119
"59",500,0.7,0.5,0.3,0.0837898953331554,0.01,0.1286,0.6925628006751,0.663789432021514,0.660675941438697,0.658946584618337,0.639364025699695
"60",1000,0.7,0.5,0.3,0.0796029232252561,0.01,0.1252,0.692901528645161,0.652868589377632,0.651464107111599,0.64979100857329,0.626716396325075
"61",100,0.3,0.5,0.3,0.078876548035586,0.01,0.13725,0.72476227920238,0.595632275870485,0.59230428061725,0.584001551595139,0.547697134182652
"62",200,0.3,0.5,0.3,0.0801057796349838,0.01,0.1377,0.716398726210568,0.595414337505517,0.590663689653292,0.581455619155696,0.553766520954016
"63",500,0.3,0.5,0.3,0.0822553005367048,0.01,0.13925,0.721341234517566,0.598575607954963,0.594390949030884,0.587886122623277,0.563154057487942
"64",1000,0.3,0.5,0.3,0.0813307318546747,0.01,0.1368,0.727826507168319,0.599317498053915,0.594037622230181,0.586868523232797,0.55008506728941
"65",100,0.5,0.5,0.3,0.0810629576005081,0.01,0.1335,0.702822369948555,0.627328434381988,0.625767398331223,0.620252101750985,0.596412011618573
"66",200,0.5,0.5,0.3,0.0781791909190639,0.01,0.129,0.702955529849839,0.630266406284481,0.627466243392872,0.62287076608427,0.58731539923123
