"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0371031543327053,0.01,0.13415,0.662634924266554,0.42784110250532,0.57092298468592,0.435053614204523,0.535169865577903
"2",200,0.3,0.5,0.2,0.0359750297036993,0.01,0.1362,0.641936139619729,0.558749585251016,0.555584063904476,0.55083844593407,0.531219951289872
"3",500,0.3,0.5,0.2,0.0384625106731001,0.01,0.1349,0.663852954376697,0.565997371985723,0.564878234587466,0.564450900534393,0.543258512309516
"4",1000,0.3,0.5,0.2,0.0371944957285162,0.01,0.1353,0.652201234336057,0.5705535243985,0.568120690462933,0.558844737168264,0.539173197503777
"5",100,0.5,0.5,0.2,0.0367305064463261,0.01,0.1341,0.641213662997277,0.59312588209233,0.595703777001614,0.589862267050064,0.569268586600306
"6",200,0.5,0.5,0.2,0.034976951487556,0.01,0.12945,0.6401127725953,0.585799200707818,0.584682103343493,0.583140776895825,0.559714950097157
"7",500,0.5,0.5,0.2,0.0362132020305197,0.01,0.1277,0.641170350152035,0.585198614131859,0.581235038613169,0.577926474811177,0.562413888292145
"8",1000,0.5,0.5,0.2,0.0368677410126732,0.01,0.1301,0.642878299827197,0.5900226522635,0.587572376563721,0.587457424632614,0.560977739258607
"9",100,0.7,0.5,0.2,0.0365574071801003,0.01,0.12815,0.64267485792297,0.611110313471208,0.609768936882739,0.608733545012134,0.594355722643411
"10",200,0.7,0.5,0.2,0.0370814837903354,0.01,0.12985,0.637304240909234,0.61320115073546,0.61142458082595,0.610384021685111,0.589766912035285
"11",500,0.7,0.5,0.2,0.0372167898941506,0.01,0.12795,0.643353630974278,0.615211386306713,0.614395160811626,0.612227866518556,0.595043703573109
"12",1000,0.7,0.5,0.2,0.0370316257290898,0.01,0.1327,0.63347624642417,0.608717706493608,0.607542274806175,0.606281846537439,0.590314182928694
"13",100,0.3,0.5,0.2,0.0364853564812604,0.01,0.13685,0.651146964597393,0.434903782357553,0.437250971292799,0.559605418266035,0.536292295821883
