"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0379705455115085,0.01,0.13615,0.655184874356372,0.566629265770247,0.567503662430331,0.435695171839029,0.457457048822561
"2",200,0.3,0.5,0.2,0.0375252729324839,0.01,0.13205,0.654791027891833,0.570803528022788,0.566390920766565,0.563672884525069,0.538257053702427
"3",500,0.3,0.5,0.2,0.038921632119908,0.01,0.13505,0.661108229224698,0.578831198233665,0.579141368654981,0.572177880209046,0.547012686927095
"4",1000,0.3,0.5,0.2,0.038743406800449,0.01,0.1319,0.65890706833152,0.576436234756911,0.57496812433233,0.569535298514291,0.542192563347378
"5",100,0.5,0.5,0.2,0.0384497281936838,0.01,0.1314,0.64186216156736,0.587139592053129,0.587178754407335,0.584343944560276,0.566413917835778
"6",200,0.5,0.5,0.2,0.0398968590403636,0.01,0.1334,0.65030509278974,0.591343878126863,0.589291982519209,0.585842030712016,0.558509088049796
"7",500,0.5,0.5,0.2,0.0375185350625824,0.01,0.13265,0.634579122176541,0.582819979711656,0.582978042079636,0.578152438735243,0.561620226009377
"8",1000,0.5,0.5,0.2,0.0352473362096535,0.01,0.1335,0.640266148620697,0.587472548945139,0.584682454922402,0.581753581684462,0.563095020089122
"9",100,0.7,0.5,0.2,0.0363625039828792,0.01,0.12735,0.628582703804943,0.605712140616055,0.60398877809821,0.601193972358331,0.586052768164383
"10",200,0.7,0.5,0.2,0.0364889171152529,0.01,0.12725,0.629824746927351,0.60148053661365,0.601522679431651,0.599447036675102,0.584694113914676
"11",500,0.7,0.5,0.2,0.0396197701769264,0.01,0.1289,0.636560077418878,0.61067370686506,0.609769394943849,0.60825505685241,0.591071933207167
"12",1000,0.7,0.5,0.2,0.0362599972369299,0.01,0.13195,0.624676325564221,0.600042962356991,0.597569659147213,0.595987024176271,0.580188146730765
"13",100,0.3,0.5,0.2,0.0367512324305208,0.01,0.13525,0.661735545885346,0.572012596400737,0.570148591153769,0.566893357051184,0.541463627518191
"14",200,0.3,0.5,0.2,0.0356014104557358,0.01,0.1329,0.649319690947989,0.555938577047114,0.554405316644106,0.546813846192564,0.535498547066631
"15",500,0.3,0.5,0.2,0.0383228063347221,0.01,0.13225,0.654500316816169,0.570761064672347,0.567222346075974,0.562389743990487,0.538017241973716
"16",1000,0.3,0.5,0.2,0.0355850423344619,0.01,0.13505,0.650655702488495,0.563944069431976,0.560569596118755,0.559356990549451,0.536506726557589
"17",100,0.5,0.5,0.2,0.0382176759394207,0.01,0.1311,0.64696988574607,0.594401809120505,0.593169949630928,0.588970791257542,0.565978496196287
"18",200,0.5,0.5,0.2,0.0379809381221744,0.01,0.1314,0.653340244757337,0.602060350691007,0.597870661236358,0.594191512959368,0.569225667987962
"19",500,0.5,0.5,0.2,0.0367693316451581,0.01,0.13505,0.651066504688991,0.588445322468894,0.589419184441366,0.58553474738391,0.572437035657832
"20",1000,0.5,0.5,0.2,0.0371206342553268,0.01,0.13095,0.636572166742734,0.586000244139389,0.583004929782621,0.579830581500242,0.558722518231491
"21",100,0.7,0.5,0.2,0.0364222617629781,0.01,0.12595,0.632151293929434,0.60535047207088,0.60420579181579,0.602564664052602,0.589311610282792
"22",200,0.7,0.5,0.2,0.037123768442287,0.01,0.13055,0.631641644202359,0.602656133552848,0.602228078284186,0.599906705095477,0.58670847677191
"23",500,0.7,0.5,0.2,0.0364818641551893,0.01,0.13115,0.627316177825986,0.599341136189344,0.59754279167419,0.595741355158358,0.58207314307591
"24",1000,0.7,0.5,0.2,0.0375803047388626,0.01,0.1319,0.630823413471636,0.609069063697888,0.609420731872663,0.606825006275131,0.591408886421876
"25",100,0.3,0.5,0.2,0.0374441095802974,0.01,0.1346,0.650286746970749,0.566345821021755,0.562031021968926,0.553462370416178,0.533922254885378
"26",200,0.3,0.5,0.2,0.0360343585045916,0.01,0.1332,0.661959378966009,0.567326872358262,0.565530506809958,0.561436367671283,0.552319873906406
"27",500,0.3,0.5,0.2,0.0366266684980389,0.01,0.1318,0.655869967079196,0.567655418206881,0.56639025188388,0.562144804771942,0.538912857909833
"28",1000,0.3,0.5,0.2,0.0367914468441125,0.01,0.13295,0.66198039032717,0.563087789514817,0.558933884983343,0.553571089514561,0.531255147382485
"29",100,0.5,0.5,0.2,0.0351606212231402,0.01,0.1346,0.641295924033816,0.586679018906693,0.586174557085045,0.58066227656134,0.436973249924576
"30",200,0.5,0.5,0.2,0.0369419987174472,0.01,0.1309,0.65202903034581,0.595822021518665,0.595450936489323,0.591951900515152,0.567891307916695
"31",500,0.5,0.5,0.2,0.0367008275417486,0.01,0.13045,0.641575885092331,0.593516553459117,0.592816777243541,0.592225823218929,0.570248161114426
"32",1000,0.5,0.5,0.2,0.0355707220510968,0.01,0.12935,0.646020129730629,0.593316081471255,0.59222608468822,0.590552766401798,0.572111197864166
"33",100,0.7,0.5,0.2,0.0350090018498362,0.01,0.1308,0.628051890615034,0.602128534376064,0.603290599497529,0.60152658650819,0.586608399551813
"34",200,0.7,0.5,0.2,0.0331763215072251,0.01,0.13,0.623306550001715,0.594922128005146,0.593646343494207,0.593142779920119,0.580077569518754
"35",500,0.7,0.5,0.2,0.036432070252966,0.01,0.12955,0.63680168811582,0.609481447150172,0.606999261410565,0.605097279328338,0.592198832157345
"36",1000,0.7,0.5,0.2,0.0366202069163111,0.01,0.1291,0.635107200869639,0.607912852768319,0.607444900281744,0.608259959291453,0.59119222221387
"37",100,0.3,0.5,0.3,0.0797720558409508,0.01,0.13595,0.716471200721657,0.403522661411123,0.407391067077985,0.414393617725485,0.44838286780139
"38",200,0.3,0.5,0.3,0.0800506369767768,0.01,0.1392,0.727986603146169,0.598573816084916,0.595618514832956,0.590734865108527,0.438603988058779
"39",500,0.3,0.5,0.3,0.0820631994725592,0.01,0.13765,0.720446952067405,0.60336638659063,0.600301560210171,0.591197395763044,0.557776991676703
"40",1000,0.3,0.5,0.3,0.0786692151058856,0.01,0.13925,0.720279856549279,0.599829278797022,0.596130619250008,0.590713145754056,0.557199422182904
"41",100,0.5,0.5,0.3,0.0798433412709482,0.01,0.1348,0.709041009059926,0.635612579519521,0.631351823539608,0.625194879827692,0.596881195377382
"42",200,0.5,0.5,0.3,0.0807094795969255,0.01,0.1337,0.703688833228314,0.635114688679875,0.631537868991859,0.629460339315599,0.593066689191705
"43",500,0.5,0.5,0.3,0.079727331425918,0.01,0.1332,0.706148273236544,0.629779118597526,0.625776586958812,0.621364158598819,0.59034049748418
"44",1000,0.5,0.5,0.3,0.0811981250799713,0.01,0.13155,0.712917995801928,0.632634968182589,0.632224288964887,0.627018715166051,0.59866892998697
"45",100,0.7,0.5,0.3,0.0814279484594394,0.01,0.1292,0.695871065020477,0.659589896187962,0.657630283416695,0.65500452514045,0.628981341851249
"46",200,0.7,0.5,0.3,0.0779951878377897,0.01,0.1315,0.701327670362986,0.661330744503804,0.657932192031102,0.655310056467976,0.636354417056592
"47",500,0.7,0.5,0.3,0.0803731335220487,0.01,0.1297,0.695911856969763,0.661322914984016,0.659099318566357,0.657199583062854,0.632632053297536
"48",1000,0.7,0.5,0.3,0.0753830430122465,0.01,0.127,0.685797618522817,0.651638512227719,0.650480295983002,0.648274150800205,0.631467407781411
"49",100,0.3,0.5,0.3,0.0767356116846739,0.01,0.13985,0.723840764394446,0.601422243849019,0.598052339195955,0.592846834118161,0.436658890624897
"50",200,0.3,0.5,0.3,0.0805643070091166,0.01,0.13385,0.725706632728625,0.602288970588504,0.601267033992677,0.597533661743533,0.560872413176195
"51",500,0.3,0.5,0.3,0.0837634452556147,0.01,0.13665,0.726718560908891,0.603015700443509,0.599494127698512,0.596309712598563,0.559600769363419
"52",1000,0.3,0.5,0.3,0.081368002030947,0.01,0.13825,0.730903848200954,0.609679253036,0.60583156434689,0.595144435186819,0.557428031341156
"53",100,0.5,0.5,0.3,0.0804705659049912,0.01,0.13335,0.71355859990005,0.629555789221807,0.62866989853201,0.624433624659727,0.595098447301127
"54",200,0.5,0.5,0.3,0.0810233495018635,0.01,0.13435,0.705779193229412,0.636054057255149,0.632323172283094,0.626948109772678,0.584375246751654
"55",500,0.5,0.5,0.3,0.0802354015850225,0.01,0.1307,0.708676382676143,0.62261817541837,0.621308226232123,0.618506275511375,0.596280305681484
"56",1000,0.5,0.5,0.3,0.0827502507203326,0.01,0.13075,0.704559451877804,0.637994206174474,0.634348005090977,0.627967855416009,0.595506600195262
"57",100,0.7,0.5,0.3,0.0800727812689402,0.01,0.1282,0.685283067537989,0.651694651584372,0.651039333512934,0.648597030665341,0.622977643655306
"58",200,0.7,0.5,0.3,0.0788407417460558,0.01,0.12835,0.69532305493148,0.659137609352741,0.657659103131507,0.654070894821971,0.634990691322273
"59",500,0.7,0.5,0.3,0.0824335311722952,0.01,0.1289,0.691805333561069,0.658167067754019,0.658171740208096,0.657338337936603,0.633475787891982
"60",1000,0.7,0.5,0.3,0.0757785851629298,0.01,0.1296,0.694029221992964,0.646759795637999,0.646541823656479,0.643544070128999,0.630347601186642
"61",100,0.3,0.5,0.3,0.0804462228856293,0.01,0.13835,0.730716725051953,0.598538875957947,0.593266119560487,0.586767338236836,0.555911166951755
"62",200,0.3,0.5,0.3,0.0824964340761793,0.01,0.1343,0.720171828320202,0.605250956752513,0.60256091079956,0.600216798509816,0.565796781764938
"63",500,0.3,0.5,0.3,0.0817138353462414,0.01,0.13595,0.722795914661989,0.592425593377748,0.587812360473629,0.580778713410605,0.557760412015792
"64",1000,0.3,0.5,0.3,0.0816089384748315,0.01,0.13595,0.722427950386987,0.607598560310983,0.602213501238144,0.59552426161145,0.556136359217612
"65",100,0.5,0.5,0.3,0.0807378462771543,0.01,0.12785,0.715308267805709,0.633641702225696,0.630035668414912,0.626147436286726,0.596883005547564
"66",200,0.5,0.5,0.3,0.0802933735821262,0.01,0.12545,0.716680584046429,0.641527275944272,0.638506108917527,0.635295714445359,0.602592890933466
"67",500,0.5,0.5,0.3,0.0790399998427296,0.01,0.13665,0.701214708091683,0.621663896248171,0.618764086647256,0.614478036053268,0.596000256169447
"68",1000,0.5,0.5,0.3,0.0819375920862526,0.01,0.1305,0.702874963362621,0.627267740775875,0.623022947161884,0.619346555326029,0.591234899416429
"69",100,0.7,0.5,0.3,0.0795692457064654,0.01,0.13015,0.695467599449425,0.657783453988167,0.657116995835352,0.653838419275614,0.628154743542697
"70",200,0.7,0.5,0.3,0.0792979674180913,0.01,0.1306,0.691841974558915,0.653379848911388,0.649725926541895,0.647450952869479,0.623501531004013
"71",500,0.7,0.5,0.3,0.0808697272943053,0.01,0.129,0.691611583837657,0.65467258854878,0.654009695140904,0.65115780442456,0.633097874337718
"72",1000,0.7,0.5,0.3,0.0819531838756633,0.01,0.1302,0.695415136608084,0.655245737878365,0.653602007485603,0.652300046961978,0.630863577024699
"73",100,0.3,0.5,0.4,0.135907774456717,0.01,0.1376,0.775736359526799,0.629772138850386,0.627109125110225,0.619586921013796,0.576286697064853
