"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0365089565410264,0.01,0.13375,0.657723465509671,0.572182096601524,0.569490909474457,0.562735722948509,0.541152224363403
"2",200,0.3,0.5,0.2,0.0369669841758589,0.01,0.13415,0.658329926518933,0.566116557342137,0.561864360191315,0.560198934025537,0.537976249544185
"3",500,0.3,0.5,0.2,0.0374541578807882,0.01,0.1346,0.660018492320869,0.563463015670152,0.561709369455333,0.559216690502635,0.543157524051506
"4",1000,0.3,0.5,0.2,0.037878888459017,0.01,0.13285,0.657675839365211,0.572694543696783,0.568459247896957,0.562732146281367,0.536035988162947
"5",100,0.5,0.5,0.2,0.0356624574030122,0.01,0.12975,0.63875083284834,0.582820870789219,0.58214425048964,0.579909962932947,0.557498409121513
"6",200,0.5,0.5,0.2,0.0359365183966993,0.01,0.1283,0.64826805398971,0.587057784519977,0.58521622071074,0.584435627685786,0.568338761091949
"7",500,0.5,0.5,0.2,0.0368578715562257,0.01,0.1318,0.655318655505242,0.601007805722445,0.600414542722234,0.599980825166922,0.420720420100068
"8",1000,0.5,0.5,0.2,0.0387930982774085,0.01,0.1338,0.63679249704247,0.592274902367131,0.590786900371577,0.588546442821442,0.558945420024874
"9",100,0.7,0.5,0.2,0.0370811002978725,0.01,0.13185,0.626384993561675,0.603017725002771,0.602066336985778,0.599141819380523,0.584664761442263
"10",200,0.7,0.5,0.2,0.036872421488282,0.01,0.1293,0.62591981075655,0.603539359044026,0.602841876641938,0.601619955175264,0.58488085397874
"11",500,0.7,0.5,0.2,0.0331772502497051,0.01,0.1323,0.622873409741281,0.588781431626879,0.587875846945334,0.586776041614682,0.575774394173046
"12",1000,0.7,0.5,0.2,0.0356325075771599,0.01,0.1281,0.634607428376881,0.609820304458023,0.610418821041497,0.611068513940081,0.594224565004426
"13",100,0.3,0.5,0.2,0.0376802044465754,0.01,0.13335,0.645120236581809,0.428594279459994,0.432667191950695,0.445288195344286,0.461142450035904
"14",200,0.3,0.5,0.2,0.0375907833870371,0.01,0.1339,0.653192380507969,0.561630871067141,0.559480764903558,0.5586501023082,0.539145719599157
"15",500,0.3,0.5,0.2,0.0376549182232161,0.01,0.13695,0.657880580951584,0.565529474075404,0.563124770507465,0.56000271496637,0.539612738978247
"16",1000,0.3,0.5,0.2,0.0379017603154613,0.01,0.12885,0.662695833135698,0.578516234046487,0.574995770392748,0.57328732967507,0.535640964301126
"17",100,0.5,0.5,0.2,0.0379460428851827,0.01,0.13305,0.649714552576058,0.592799554262274,0.590921464739752,0.585463883980154,0.567313704327886
"18",200,0.5,0.5,0.2,0.0360924666229529,0.01,0.1301,0.646217793043996,0.587436969539832,0.58596055662618,0.586412110394863,0.563931561803118
"19",500,0.5,0.5,0.2,0.0360115744032793,0.01,0.12705,0.641754180193851,0.596298397298145,0.592699688551476,0.590508233800265,0.569959357645023
"20",1000,0.5,0.5,0.2,0.0370308790336356,0.01,0.13175,0.636702505671798,0.58477847978959,0.581728169243096,0.577942996808133,0.55995647019171
"21",100,0.7,0.5,0.2,0.0391711020222058,0.01,0.136,0.636271161188133,0.613880872770749,0.612001156867363,0.6100103608793,0.597798304545854
"22",200,0.7,0.5,0.2,0.0347785367308402,0.01,0.13065,0.627859399407395,0.398677355513187,0.399990132501822,0.599571421811954,0.582310194214772
"23",500,0.7,0.5,0.2,0.036348049804749,0.01,0.13225,0.633007277036976,0.605236425799108,0.604705505931745,0.602729559487461,0.586129812664647
"24",1000,0.7,0.5,0.2,0.0363858404329578,0.01,0.12755,0.624962257613088,0.599351379934614,0.597851490304478,0.595495392849866,0.584204386078874
"25",100,0.3,0.5,0.2,0.037621144279907,0.01,0.13705,0.642956123105641,0.564679428511702,0.561768375286137,0.556408208370935,0.536095242361985
"26",200,0.3,0.5,0.2,0.0363358130060846,0.01,0.13235,0.651081413434913,0.562049468357942,0.56063973383239,0.55567916822624,0.531550564913008
"27",500,0.3,0.5,0.2,0.0371753561516396,0.01,0.13615,0.651050115373796,0.568893960863942,0.566852783137954,0.560937272757157,0.537290187121334
"28",1000,0.3,0.5,0.2,0.0372833314095474,0.01,0.1343,0.656569165489953,0.570136629903019,0.569774319339839,0.565988700051939,0.541527908471343
"29",100,0.5,0.5,0.2,0.0380214461161449,0.01,0.13275,0.641576490275435,0.587372386628623,0.585958771777488,0.581565436365846,0.56348316965601
