"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0367965674485952,0.01,0.13345,0.654305136326284,0.561131115449973,0.557517714385726,0.445005775537782,0.537839444940512
"2",200,0.3,0.5,0.2,0.0378677170777821,0.01,0.13265,0.662503824192186,0.575288498427643,0.42839918866662,0.569216876692706,0.54388092069791
"3",500,0.3,0.5,0.2,0.0359052727233577,0.01,0.1324,0.652389263922706,0.549811975803082,0.549427204737864,0.546045682873475,0.534337970477504
"4",1000,0.3,0.5,0.2,0.0373085862106393,0.01,0.1282,0.660383502480871,0.573011503128216,0.565336308109619,0.561180035835911,0.543778658826314
"5",100,0.5,0.5,0.2,0.038428969543903,0.01,0.1315,0.646428880156716,0.586556347557431,0.587346634636526,0.584141603656574,0.570717876914604
"6",200,0.5,0.5,0.2,0.0365387171340324,0.01,0.136,0.650735771382442,0.595675639865821,0.593567482934518,0.592169389012622,0.57474974956669
"7",500,0.5,0.5,0.2,0.0392985629750651,0.01,0.13465,0.651079544787019,0.60137745362096,0.600182991834219,0.596844016309009,0.576092440289312
"8",1000,0.5,0.5,0.2,0.0374298096931634,0.01,0.13015,0.644331434679265,0.591503352190267,0.590083928453625,0.590008703953279,0.565554384687627
"9",100,0.7,0.5,0.2,0.0353971805054289,0.01,0.1317,0.630265335351564,0.598795598750565,0.598014937603599,0.596002450695415,0.585497319444114
"10",200,0.7,0.5,0.2,0.0369456097570862,0.01,0.1322,0.632945495388061,0.615141698545996,0.614026758516263,0.613857991855866,0.600860136596984
"11",500,0.7,0.5,0.2,0.0363670216871971,0.01,0.13535,0.640158675285148,0.610218910974691,0.609371672847483,0.608083134458206,0.593327315514031
"12",1000,0.7,0.5,0.2,0.0376038415598967,0.01,0.13025,0.632556392790134,0.610659398498689,0.609537571283597,0.609615341490978,0.595049023631969
"13",100,0.3,0.5,0.2,0.0385043158252294,0.01,0.13405,0.653363440521228,0.570170781600843,0.564240120538613,0.561121706730208,0.535061878009466
"14",200,0.3,0.5,0.2,0.036810022453765,0.01,0.1344,0.656853543051674,0.569669257223259,0.567635182403623,0.559608254462358,0.532625977785451
"15",500,0.3,0.5,0.2,0.0357682035737356,0.01,0.13275,0.65480426582462,0.563306957723544,0.562649963568752,0.555881314426022,0.542410221482051
"16",1000,0.3,0.5,0.2,0.0375877029849567,0.01,0.1302,0.658705710035042,0.569020722300474,0.565324632929603,0.559393004047738,0.543879452649557
"17",100,0.5,0.5,0.2,0.0372661315867754,0.01,0.1294,0.642789347157201,0.408413247220583,0.410637476054922,0.414501315860142,0.428179793938094
"18",200,0.5,0.5,0.2,0.0375681902555679,0.01,0.1342,0.63878658698515,0.586615553470173,0.586226963529975,0.581508208567938,0.564963917337302
"19",500,0.5,0.5,0.2,0.0371120298877677,0.01,0.13375,0.636986473708191,0.581174890695523,0.579370586373299,0.577905248943786,0.55678529163703
"20",1000,0.5,0.5,0.2,0.0371529772750725,0.01,0.1288,0.648605731536882,0.595872717183548,0.595927763733884,0.59422797953019,0.570197916024406
"21",100,0.7,0.5,0.2,0.0356112806594207,0.01,0.1282,0.629492096784892,0.605630388459639,0.603025170586032,0.601479995513794,0.585652738639963
"22",200,0.7,0.5,0.2,0.0362708151037676,0.01,0.1287,0.635857776007074,0.612527515662625,0.613033798614003,0.609236197950396,0.594875244365608
"23",500,0.7,0.5,0.2,0.0383068083998482,0.01,0.128,0.636612942983432,0.6171891515565,0.616006820626529,0.614511978279583,0.602632110309879
"24",1000,0.7,0.5,0.2,0.0345121519548265,0.01,0.1275,0.629900100605329,0.606508781732794,0.604889887776303,0.602038828713893,0.587440799759069
"25",100,0.3,0.5,0.2,0.0372830926795144,0.01,0.13285,0.344232776927345,0.423580172245354,0.428681522752638,0.432415152866979,0.446652543643087
"26",200,0.3,0.5,0.2,0.0381373580926265,0.01,0.13465,0.651643539779795,0.577231805368637,0.574369520391632,0.571558993213755,0.546165191879031
"27",500,0.3,0.5,0.2,0.038432071456033,0.01,0.1341,0.653528851423231,0.56976451317567,0.568509912120624,0.561180293414393,0.473666841998881
"28",1000,0.3,0.5,0.2,0.0359386485293682,0.01,0.13455,0.657415573534263,0.570167025178598,0.570738871138202,0.569277537197137,0.536608516357186
"29",100,0.5,0.5,0.2,0.0360009704974734,0.01,0.13,0.644290587593537,0.595206928278463,0.593190863121347,0.59268055618722,0.565031882684955
"30",200,0.5,0.5,0.2,0.0352551993672436,0.01,0.1308,0.642924521971359,0.578150717658328,0.575902042096117,0.57566894904919,0.555850463457377
"31",500,0.5,0.5,0.2,0.0365958417059376,0.01,0.1351,0.643838935907518,0.585584978445179,0.585405302426928,0.58152513833499,0.557255091023239
"32",1000,0.5,0.5,0.2,0.0400970688114273,0.01,0.13075,0.648671596514661,0.599850596249995,0.598447940395678,0.597353554392583,0.576125737049411
"33",100,0.7,0.5,0.2,0.0369774018818887,0.01,0.12985,0.629670845593415,0.397530206650112,0.398529595044007,0.40024354177716,0.411837279354861
"34",200,0.7,0.5,0.2,0.0359046892072331,0.01,0.1263,0.631778572217882,0.605412994219656,0.60497493641618,0.603808994219653,0.586421364161846
"35",500,0.7,0.5,0.2,0.0383587491353451,0.01,0.13025,0.634541615159456,0.609118408173956,0.608009496960006,0.607425490149894,0.596552801202776
"36",1000,0.7,0.5,0.2,0.0375789953524091,0.01,0.133,0.628451105605167,0.60874317992306,0.607357569629795,0.606397931515239,0.592458483602611
"37",100,0.3,0.5,0.3,0.0799401172880534,0.01,0.1348,0.726055582149461,0.589250030702561,0.582910527696382,0.576302218955933,0.45968954182466
