"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0359954060913074,0.01,0.132,0.656360077090867,0.559261445836847,0.556488536681509,0.553323395224332,0.526000618254022
"2",200,0.3,0.5,0.2,0.0374507869178874,0.01,0.1385,0.662829040176724,0.425909107118901,0.427916503003993,0.435168587303163,0.45850331374684
"3",500,0.3,0.5,0.2,0.0370425349742795,0.01,0.13395,0.65749084806299,0.567154670074697,0.564062809043468,0.558985304111453,0.531352108867346
"4",1000,0.3,0.5,0.2,0.0378325939418895,0.01,0.1326,0.660383863590482,0.579818450921628,0.575114920900317,0.567453664178479,0.458552234879011
"5",100,0.5,0.5,0.2,0.0372121480324031,0.01,0.1299,0.644670175559163,0.586192103516827,0.583466270402975,0.583183886021785,0.572113528492228
"6",200,0.5,0.5,0.2,0.0369263179855152,0.01,0.1316,0.641269575314342,0.588606151017231,0.586455260426261,0.58099364313826,0.562052334601873
"7",500,0.5,0.5,0.2,0.0373968345600727,0.01,0.1333,0.640819532625724,0.586071934442786,0.587803405746211,0.585685175008587,0.56238232382166
"8",1000,0.5,0.5,0.2,0.0393506243322227,0.01,0.1318,0.653647554083137,0.596560772834583,0.595466826577728,0.594563394399867,0.571899061335862
"9",100,0.7,0.5,0.2,0.0346618846307447,0.01,0.12915,0.630230814841115,0.609273756399985,0.607561396057929,0.605669017770665,0.591425858694014
"10",200,0.7,0.5,0.2,0.0378554536237594,0.01,0.1319,0.638388202863494,0.60998134154314,0.609869641652485,0.609006840898553,0.597895681184549
"11",500,0.7,0.5,0.2,0.0360629208782447,0.01,0.12825,0.632590055403669,0.606035061121146,0.604423093401611,0.602720780033191,0.588874444927593
"12",1000,0.7,0.5,0.2,0.0355081100168338,0.01,0.13125,0.631500234488131,0.612612670523111,0.612417007135274,0.610949543993895,0.601722598385264
"13",100,0.3,0.5,0.2,0.0349386013850053,0.01,0.13315,0.646879933431886,0.558773670796426,0.557274063587704,0.55471529462322,0.533866054673469
"14",200,0.3,0.5,0.2,0.035392422968636,0.01,0.13485,0.657173427530163,0.555499563356355,0.554033003213142,0.547117195050791,0.528562076217852
"15",500,0.3,0.5,0.2,0.0362427596276572,0.01,0.13525,0.651929097019082,0.561128740806669,0.560485409986321,0.557780741871629,0.457969000548426
"16",1000,0.3,0.5,0.2,0.0367708738115294,0.01,0.1352,0.656754351799247,0.569713132982579,0.565803780558356,0.557899563961225,0.533977308416439
"17",100,0.5,0.5,0.2,0.0388686881345258,0.01,0.1348,0.659307248451275,0.605511173995661,0.602370437197209,0.5998107838699,0.575360667556935
"18",200,0.5,0.5,0.2,0.0380797480674146,0.01,0.132,0.645890375234185,0.589164198199533,0.588729502807257,0.583106189778873,0.56371663111628
"19",500,0.5,0.5,0.2,0.0365680198670826,0.01,0.12955,0.643536703142653,0.585656495470412,0.584077727953141,0.583996582687906,0.559344623053122
"20",1000,0.5,0.5,0.2,0.0384822467761688,0.01,0.12955,0.646006401456598,0.592013372914206,0.591724441356371,0.587845286240303,0.567332124317848
"21",100,0.7,0.5,0.2,0.0350877444045661,0.01,0.13165,0.630344647283425,0.606519697903222,0.605775959470436,0.604589236904993,0.593716337732816
"22",200,0.7,0.5,0.2,0.0371553022860043,0.01,0.12815,0.637142140786712,0.613507107495166,0.613092117447276,0.611880643336643,0.59597769954223
"23",500,0.7,0.5,0.2,0.039081343513022,0.01,0.13325,0.638076920822192,0.616681061468458,0.616056205478408,0.614862250723401,0.596387810025207
"24",1000,0.7,0.5,0.2,0.0362880104354428,0.01,0.13355,0.627677974123414,0.603370191425055,0.60360289826529,0.599662912631805,0.587662825608272
"25",100,0.3,0.5,0.2,0.0378719225984257,0.01,0.1302,0.655349713049281,0.584118466749831,0.581215046688974,0.572772378815309,0.549209663337736
"26",200,0.3,0.5,0.2,0.0386348122081669,0.01,0.13245,0.663471456186648,0.569353363296411,0.564817596968202,0.559853663902367,0.5376232957919
"27",500,0.3,0.5,0.2,0.0368410611319283,0.01,0.13065,0.654222241662352,0.566143004011877,0.561519217389794,0.556083787417113,0.538373272818383
"28",1000,0.3,0.5,0.2,0.0389423489642714,0.01,0.1333,0.66785783660963,0.582066337668036,0.57921937414191,0.577864105349179,0.55759926114025
"29",100,0.5,0.5,0.2,0.0371346922177858,0.01,0.1299,0.646585592893718,0.590767286640543,0.587349744843503,0.586159803592201,0.572584486308558
"30",200,0.5,0.5,0.2,0.03788141398071,0.01,0.1311,0.644871466452402,0.59347057667402,0.591309825581689,0.587380197650561,0.567527340878083
