"","sample_size","pred_ICC","noise_ICC","gtm_beta","ve_pred","SA_incidence_day","SA_followup","auc_m_mixed_30","auc_m_lin_30","auc_m_lin_14","auc_m_lin_7","auc_m_lin_1"
"1",100,0.3,0.5,0.2,0.0382130127185055,0.01,0.13185,0.659556257599797,0.57206434892319,0.56878923087737,0.566724371781502,0.546036836682199
"2",200,0.3,0.5,0.2,0.0366052368926045,0.01,0.132,0.651492345603261,0.568226223012173,0.565325620243915,0.561409333334314,0.530663790134456
"3",500,0.3,0.5,0.2,0.036608455974653,0.01,0.1359,0.658974709941903,0.57119839436101,0.569906777838151,0.564308297123675,0.544292039098459
"4",1000,0.3,0.5,0.2,0.0382187330444716,0.01,0.1332,0.660630861350771,0.569351991466206,0.569322207364893,0.56495490617347,0.544997226520831
"5",100,0.5,0.5,0.2,0.0363187594920382,0.01,0.13235,0.638095153780909,0.578910731720065,0.575585500777276,0.572261436342798,0.55349729201702
"6",200,0.5,0.5,0.2,0.0339456391934106,0.01,0.13025,0.648423782328583,0.58514796652418,0.584675278127176,0.582911600977728,0.557699073780179
"7",500,0.5,0.5,0.2,0.0380173489567441,0.01,0.1311,0.64407250925567,0.408054514094857,0.410226898393815,0.412911562596543,0.56683904032053
"8",1000,0.5,0.5,0.2,0.0385790933617393,0.01,0.13175,0.653040108176169,0.594152998468496,0.592649349658778,0.590198713198711,0.579386593757578
"9",100,0.7,0.5,0.2,0.0361160369612149,0.01,0.1298,0.642651446291773,0.616417255252386,0.614889493565967,0.613050319609913,0.603372156390731
"10",200,0.7,0.5,0.2,0.0372040390529438,0.01,0.13165,0.623725288910985,0.59940033171214,0.597912424241284,0.596992581117511,0.585696489558416
"11",500,0.7,0.5,0.2,0.036403994898276,0.01,0.1335,0.635305525298344,0.612102397752019,0.611496463299834,0.610661852088097,0.589882949201799
"12",1000,0.7,0.5,0.2,0.039347278026701,0.01,0.12875,0.638714609713498,0.613435610531564,0.613436502414739,0.61317176175987,0.600373015271936
"13",100,0.3,0.5,0.2,0.0382755381404194,0.01,0.1366,0.664028849657471,0.427485595699265,0.429902087482305,0.435493064551447,0.460582814689269
"14",200,0.3,0.5,0.2,0.037352339027519,0.01,0.13115,0.652304772867342,0.572332544714579,0.56820041871709,0.564650895902584,0.542978357333359
"15",500,0.3,0.5,0.2,0.0366578718926336,0.01,0.13305,0.647530494746631,0.57358274208427,0.572380490687572,0.568004182205209,0.539336318636988
"16",1000,0.3,0.5,0.2,0.0365867047078894,0.01,0.13275,0.655342850244672,0.565996680222437,0.563687859647504,0.557577085258713,0.539423416652497
"17",100,0.5,0.5,0.2,0.0369461135940924,0.01,0.1339,0.648124437518324,0.58584577919121,0.584742778630437,0.58179705626511,0.55935848926014
"18",200,0.5,0.5,0.2,0.0381463605070922,0.01,0.13075,0.646055510169523,0.590892036918514,0.58975874625325,0.588131245173954,0.570203087667193
"19",500,0.5,0.5,0.2,0.0363714965256249,0.01,0.133,0.639923383801633,0.587109831539532,0.585874269771621,0.582740898510672,0.556982761783383
"20",1000,0.5,0.5,0.2,0.0366872828529188,0.01,0.1338,0.643338475349313,0.590290850255032,0.588511120097934,0.585927061966208,0.564055574085212
"21",100,0.7,0.5,0.2,0.037642454299571,0.01,0.1274,0.629480532087715,0.604892379573599,0.605056639031302,0.60459527490985,0.585882799273239
